ip,abuseConfidenceScore,levels
108.162.192.247,0,AbuseIPDB
208.94.148.2,0,AbuseIPDB
208.84.5.8,0,AbuseIPDB
205.251.192.91,0,AbuseIPDB
204.14.183.8,0,AbuseIPDB
205.251.199.211,0,AbuseIPDB
110.164.252.139,0,AbuseIPDB
208.84.5.1,0,AbuseIPDB
208.84.5.3,0,AbuseIPDB
218.248.240.178,0,AbuseIPDB
103.65.237.2,0,AbuseIPDB
218.248.240.209,0,AbuseIPDB
158.69.205.137,0,AbuseIPDB
208.84.5.9,0,AbuseIPDB
74.124.210.242,0,AbuseIPDB
103.65.236.2,0,AbuseIPDB
45.125.164.109,0,AbuseIPDB
185.136.96.192,0,AbuseIPDB
52.82.182.205,0,AbuseIPDB
185.136.99.192,0,AbuseIPDB
116.203.70.186,0,AbuseIPDB
185.136.98.192,0,AbuseIPDB
52.46.181.182,0,AbuseIPDB
208.94.148.4,0,AbuseIPDB
156.154.64.10,0,AbuseIPDB
193.19.225.10,0,AbuseIPDB
10.126.240.66,0,AbuseIPDB
116.205.5.60,0,AbuseIPDB
205.251.199.13,0,AbuseIPDB
121.37.64.10,0,AbuseIPDB
116.205.5.59,0,AbuseIPDB
96.9.130.152,0,AbuseIPDB
84.242.47.52,0,AbuseIPDB
205.251.196.93,0,AbuseIPDB
205.251.194.204,0,AbuseIPDB
72.246.46.65,0,AbuseIPDB
192.33.14.30,0,AbuseIPDB
96.7.49.64,0,AbuseIPDB
193.108.91.98,0,AbuseIPDB
156.154.66.64,0,AbuseIPDB
156.154.65.64,0,AbuseIPDB
95.100.174.64,0,AbuseIPDB
156.154.64.64,0,AbuseIPDB
156.154.68.64,0,AbuseIPDB
156.154.69.64,0,AbuseIPDB
156.154.67.64,0,AbuseIPDB
13.107.234.1,0,AbuseIPDB
13.107.235.2,0,AbuseIPDB
173.199.96.96,0,AbuseIPDB
45.76.14.228,0,AbuseIPDB
68.232.191.191,0,AbuseIPDB
198.181.116.5,0,AbuseIPDB
151.252.1.100,0,AbuseIPDB
65.0.146.141,0,AbuseIPDB
216.98.128.75,0,AbuseIPDB
165.154.26.45,0,AbuseIPDB
165.154.26.42,0,AbuseIPDB
198.143.62.2,0,AbuseIPDB
198.143.62.11,0,AbuseIPDB
202.103.0.117,0,AbuseIPDB
10.126.240.65,0,AbuseIPDB
202.103.0.68,0,AbuseIPDB
162.159.11.106,0,AbuseIPDB
216.239.38.106,0,AbuseIPDB
165.154.26.24,0,AbuseIPDB
172.64.40.1,0,AbuseIPDB
185.64.27.134,0,AbuseIPDB
208.80.154.238,0,AbuseIPDB
96.7.50.32,0,AbuseIPDB
162.159.60.1,0,AbuseIPDB
13.107.237.1,0,AbuseIPDB
13.107.238.1,0,AbuseIPDB
202.165.97.53,0,AbuseIPDB
87.250.250.1,0,AbuseIPDB
77.88.21.1,0,AbuseIPDB
202.41.204.43,0,AbuseIPDB
203.143.187.45,0,AbuseIPDB
146.148.28.88,0,AbuseIPDB
108.59.161.24,0,AbuseIPDB
213.248.77.82,0,AbuseIPDB
116.198.195.7,0,AbuseIPDB
195.2.240.2,0,AbuseIPDB
66.28.0.14,0,AbuseIPDB
193.32.162.3,0,AbuseIPDB
200.62.2.178,0,AbuseIPDB
45.120.177.221,0,AbuseIPDB
180.163.117.118,0,AbuseIPDB
14.205.46.237,0,AbuseIPDB
205.251.198.110,0,AbuseIPDB
129.134.30.12,0,AbuseIPDB
64.64.109.10,0,AbuseIPDB
64.64.109.18,0,AbuseIPDB
202.102.134.69,0,AbuseIPDB
52.46.186.90,0,AbuseIPDB
205.251.192.17,0,AbuseIPDB
198.244.207.225,0,AbuseIPDB
13.107.235.1,0,AbuseIPDB
13.107.234.2,0,AbuseIPDB
185.102.216.100,0,AbuseIPDB
13.107.222.36,0,AbuseIPDB
150.171.10.36,0,AbuseIPDB
202.96.104.18,0,AbuseIPDB
213.251.128.129,0,AbuseIPDB
185.64.24.132,0,AbuseIPDB
162.159.27.81,0,AbuseIPDB
13.107.222.35,0,AbuseIPDB
150.171.10.35,4,AbuseIPDB
13.107.237.2,0,AbuseIPDB
91.199.242.53,0,AbuseIPDB
209.177.157.6,0,AbuseIPDB
122.112.208.254,0,AbuseIPDB
202.31.190.1,0,AbuseIPDB
193.32.162.2,0,AbuseIPDB
176.97.158.12,0,AbuseIPDB
192.71.220.13,0,AbuseIPDB
93.95.227.195,0,AbuseIPDB
205.251.192.74,0,AbuseIPDB
205.251.196.176,3,AbuseIPDB
45.12.204.133,0,AbuseIPDB
205.251.198.2,0,AbuseIPDB
205.251.195.51,0,AbuseIPDB
185.136.97.192,0,AbuseIPDB
193.47.146.94,0,AbuseIPDB
205.251.197.180,0,AbuseIPDB
205.251.199.224,0,AbuseIPDB
204.13.153.43,0,AbuseIPDB
205.251.192.182,0,AbuseIPDB
205.251.197.237,0,AbuseIPDB
205.251.199.42,0,AbuseIPDB
205.251.196.102,0,AbuseIPDB
205.251.197.154,0,AbuseIPDB
211.137.160.40,0,AbuseIPDB
202.102.128.69,0,AbuseIPDB
202.101.98.54,0,AbuseIPDB
205.251.195.12,0,AbuseIPDB
205.251.192.127,0,AbuseIPDB
162.159.25.95,0,AbuseIPDB
62.210.16.10,0,AbuseIPDB
150.171.16.36,0,AbuseIPDB
122.112.208.253,0,AbuseIPDB
13.107.206.36,0,AbuseIPDB
195.166.128.17,0,AbuseIPDB
221.12.1.228,0,AbuseIPDB
13.107.206.35,0,AbuseIPDB
150.171.16.35,0,AbuseIPDB
192.225.156.130,0,AbuseIPDB
45.125.66.17,24,AbuseIPDB
52.82.182.199,0,AbuseIPDB
52.46.186.202,0,AbuseIPDB
162.251.82.123,0,AbuseIPDB
184.154.3.39,0,AbuseIPDB
208.111.184.65,0,AbuseIPDB
64.202.97.7,0,AbuseIPDB
202.163.96.4,0,AbuseIPDB
164.100.11.2,0,AbuseIPDB
95.100.168.32,0,AbuseIPDB
162.159.36.2,0,AbuseIPDB
80.78.22.4,0,AbuseIPDB
52.46.182.10,0,AbuseIPDB
192.225.232.15,0,AbuseIPDB
198.147.28.236,0,AbuseIPDB
107.151.7.2,0,AbuseIPDB
167.114.154.30,0,AbuseIPDB
193.0.9.1,0,AbuseIPDB
205.251.196.105,0,AbuseIPDB
185.132.35.213,0,AbuseIPDB
205.251.198.183,0,AbuseIPDB
205.251.193.67,0,AbuseIPDB
